AAPL, Apple
ACMR, ACM Research
NOK, Nokia Corporation
INTC, Intel Corporation
AUR, Aurora Innovation
NVDA, NVIDIA Corporation
ALAB, Astera Labs
BBAI, BigBear.ai Holdings
BMNR, BioMarin Pharmaceutical
BTBT, Bit Digital
ENVX, Enovix Corporation
IOT, Samsara
KEEL, Keel Infrastructure Corp
KULR, KULR Technology Group
LIDR, AEye
LUCD, Lucid Group
LUNR, Intuitive Machines
MVST, Microvast Holdings
OKLO, Oklo  Common Stock
QS, QuantumScape Corporation
RKLB, Rocket Lab USA
RUM, Rumble
SMR, NuScale Power Corporation
SOFI, SoFi Technologies
SOUN, SoundHound AI
CRNC, Cerence
ABAT, American Battery Technology
LAES, SEASQ Corp
RR,  Richtech Robotics
TMC, TMC the Metals


